Model,Metric,Score,Smoothing Constant (w)
Exponential Smoothing-log,RMSE,6.3522,0.53
Exponential Smoothing-sqrt,MAPE,0.0632,0.53
Exponential Smoothing-sqrt,MAD,3.4284,0.53
Exponential Smoothing-sqrt,RMSE,6.3485,0.53
Exponential Smoothing,MAPE,0.063,0.54
Exponential Smoothing,MAD,3.4177,0.54
Exponential Smoothing,RMSE,6.3396,0.54
Exponential Smoothing-log,MAPE,0.0632,0.54
Exponential Smoothing-log,MAD,3.4262,0.54
Exponential Smoothing-log,RMSE,6.3467,0.54
Exponential Smoothing-sqrt,MAPE,0.0631,0.54
Exponential Smoothing-sqrt,MAD,3.4219,0.54
Exponential Smoothing-sqrt,RMSE,6.3431,0.54
Exponential Smoothing,MAPE,0.0629,0.55
Exponential Smoothing,MAD,3.4114,0.55
Exponential Smoothing,RMSE,6.3345,0.55
Exponential Smoothing-log,MAPE,0.0631,0.55
Exponential Smoothing-log,MAD,3.4196,0.55
Exponential Smoothing-log,RMSE,6.3412,0.55
Exponential Smoothing-sqrt,MAPE,0.063,0.55
Exponential Smoothing-sqrt,MAD,3.4155,0.55
Exponential Smoothing-sqrt,RMSE,6.3378,0.55
Exponential Smoothing,MAPE,0.0628,0.56
Exponential Smoothing,MAD,3.4052,0.56
Exponential Smoothing,RMSE,6.3293,0.56
Exponential Smoothing-log,MAPE,0.0629,0.56
Exponential Smoothing-log,MAD,3.4131,0.56
Exponential Smoothing-log,RMSE,6.3358,0.56
Exponential Smoothing-sqrt,MAPE,0.0629,0.56
Exponential Smoothing-sqrt,MAD,3.4091,0.56
Exponential Smoothing-sqrt,RMSE,6.3326,0.56
Exponential Smoothing,MAPE,0.0627,0.57
Exponential Smoothing,MAD,3.399,0.57
Exponential Smoothing,RMSE,6.3243,0.57
Exponential Smoothing-log,MAPE,0.0628,0.57
Exponential Smoothing-log,MAD,3.4067,0.57
Exponential Smoothing-log,RMSE,6.3306,0.57
Exponential Smoothing-sqrt,MAPE,0.0627,0.57
Exponential Smoothing-sqrt,MAD,3.4028,0.57
Exponential Smoothing-sqrt,RMSE,6.3274,0.57
Exponential Smoothing,MAPE,0.0626,0.58
Exponential Smoothing,MAD,3.393,0.58
Exponential Smoothing,RMSE,6.3194,0.58
Exponential Smoothing-log,MAPE,0.0627,0.58
Exponential Smoothing-log,MAD,3.4003,0.58
Exponential Smoothing-log,RMSE,6.3254,0.58
Exponential Smoothing-sqrt,MAPE,0.0626,0.58
Exponential Smoothing-sqrt,MAD,3.3966,0.58
Exponential Smoothing-sqrt,RMSE,6.3224,0.58
Exponential Smoothing,MAPE,0.0624,0.59
Exponential Smoothing,MAD,3.387,0.59
Exponential Smoothing,RMSE,6.3145,0.59
